,arima_rmse,ridge_rmse,xgb_rmse,xgb_improvement_pct,dm_statistic,dm_p_value,cw_statistic,cw_p_value_one_sided
With COVID (original),1.695152364442613,3.1764395356075132,1.4184788275877955,16.32145538408821,1.0070384004668356,0.3139163210506044,1.170863657996041,0.12082679252838024
COVID excluded,0.9383560073707964,0.4637571734739993,0.440323511444222,53.07500479716908,1.1324197224177766,0.25745801703876614,1.3187931594266025,0.09361913589589221
