,arima_rmse,ridge_rmse,xgb_rmse,xgb_improvement_pct,dm_statistic,dm_p_value,cw_statistic,cw_p_value_one_sided
2008-2009 crisis (reduced feature set),0.27359277043109137,0.2606668853157157,0.32967709022693864,-20.499196564104018,-3.557802213515817,0.00037397072628952976,-3.449369305799709,0.9997190511722895
"2020 COVID (SAME reduced feature set, matched)",1.695152364442613,2.481196317283285,1.5168418808541195,10.518846997398027,0.7123861809559532,0.4762256704433052,1.0615035273925002,0.14423056535933743
"2020 COVID (main spec, reference only)",1.695152364442613,3.1764395356075132,1.4184788275877955,16.32145538408821,1.0070384004668356,0.3139163210506044,1.170863657996041,0.12082679252838024
