comparison,point_estimate_pct,ci_lower_pct,ci_upper_pct,ci_level,boot_se_pct,n_boot,block_size
XGBoost vs. ARIMA,16.32145538408821,-61.849599873304705,44.86420562768222,0.9,31.216878139160784,2000,6
Ridge vs. ARIMA,-87.38371855157489,-147.37656502405972,13.223148889345053,0.9,46.60604477855265,2000,6
