,RMSE,MAE,RMSE improvement vs. ARIMA (%)
ARIMA (benchmark),1.695152364442613,0.5472229435829513,0.0
"Ridge (linear, same features as XGBoost)",3.176439535607513,0.9032136879312609,-87.38371855157489
XGBoost (challenger),1.4184788275877955,0.47007834833333334,16.32145538408821
