date,UNRATE,UNRATE_lag1,UNRATE_lag2,UNRATE_lag3,ICSA_lag1,ICSA_lag2,ICSA_lag3,INDPRO_lag1,INDPRO_lag2,INDPRO_lag3,PAYEMS_lag1,PAYEMS_lag2,PAYEMS_lag3,file for unemployment_lag1,file for unemployment_lag2,file for unemployment_lag3,unemployment office_lag1,unemployment office_lag2,unemployment office_lag3,jobs near me_lag1,jobs near me_lag2,jobs near me_lag3,UNRATE_rollmean3,UNRATE_rollstd3,UNRATE_rollmean6,UNRATE_rollstd6,ICSA_rollmean3,ICSA_rollstd3,ICSA_rollmean6,ICSA_rollstd6,INDPRO_rollmean3,INDPRO_rollstd3,INDPRO_rollmean6,INDPRO_rollstd6,PAYEMS_rollmean3,PAYEMS_rollstd3,PAYEMS_rollmean6,PAYEMS_rollstd6,file for unemployment_rollmean3,file for unemployment_rollstd3,file for unemployment_rollmean6,file for unemployment_rollstd6,unemployment office_rollmean3,unemployment office_rollstd3,unemployment office_rollmean6,unemployment office_rollstd6,jobs near me_rollmean3,jobs near me_rollstd3,jobs near me_rollmean6,jobs near me_rollstd6,ICSA_mom_pct,INDPRO_mom_pct,PAYEMS_mom_pct,file for unemployment_mom_pct,unemployment office_mom_pct,jobs near me_mom_pct,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2013-03-31,7.5,7.7,8.0,7.9,353000.0,353000.0,359000.0,98.7941,98.3342,98.3101,135546.0,135257.0,135074.0,4.0,5.0,4.0,23.0,31.0,23.0,0.0,1.0,0.0,7.866666666666667,0.15275252316512938,7.816666666666666,0.1169045194449279,355000.0,3464.1016151364124,369425.0,19052.91972375977,98.47946666666667,0.272746775112355,98.10273333333333,0.49862057986732666,135292.33333333334,237.97548893389822,134981.33333333334,384.9741116844004,4.333333333333333,0.5773502691896253,4.166666666666667,0.40824829046386607,25.666666666666668,4.61880215351698,25.5,3.0166206257997144,0.3333333333333333,0.5773502691896258,0.16666666666666666,0.408248290463863,0.0,0.004676907932336993,0.0021366731481549106,-0.19999999999999996,-0.25806451612903225,-1.0,False,True,False,False,False,False,False,False,False,False,False
2013-06-30,7.5,7.5,7.6,7.5,347750.0,347250.0,351800.0,99.1839,99.1065,99.1921,136096.0,135873.0,135689.0,4.0,4.0,4.0,19.0,21.0,19.0,1.0,1.0,0.0,7.533333333333332,0.05773502691878773,7.7,0.2097617696339901,348933.3333333333,2495.161985387709,351966.6666666667,4281.549563733304,99.16083333333331,0.04723233356702297,98.82015,0.412221832270751,135886.0,203.81118713160038,135589.16666666666,380.78939936292113,4.0,0.0,4.166666666666667,0.40824829046386607,19.666666666666668,1.154700538379141,22.666666666666668,4.4572039067858285,0.6666666666666666,0.5773502691896258,0.5,0.5477225575051662,0.0014398848092151972,0.0007809780387764143,0.0016412385094903836,0.0,-0.09523809523809523,0.0,False,False,False,False,True,False,False,False,False,False,False
2013-07-31,7.3,7.5,7.5,7.6,344600.0,347750.0,347250.0,99.3897,99.1839,99.1065,136279.0,136096.0,135873.0,4.0,4.0,4.0,22.0,19.0,21.0,1.0,1.0,1.0,7.533333333333332,0.05773502691878773,7.633333333333334,0.19663841604999244,346533.3333333333,1692.8772351602654,349566.6666666667,3518.475048469912,99.2267,0.14637089874989648,99.00008333333334,0.37937168274311456,136082.66666666666,203.32814201021702,135790.0,372.41697061291774,4.0,0.0,4.166666666666667,0.40824829046386607,20.666666666666668,1.5275252316518626,22.5,4.460941604639112,1.0,0.0,0.6666666666666666,0.5163977794943223,-0.009058231488138002,0.0020749335325593865,0.001344639078297627,0.0,0.1578947368421053,0.0,False,False,False,False,False,True,False,False,False,False,False
2013-08-31,7.2,7.3,7.5,7.5,346000.0,344600.0,347750.0,99.0814,99.3897,99.1839,136391.0,136279.0,136096.0,4.0,4.0,4.0,25.0,22.0,19.0,1.0,1.0,1.0,7.433333333333333,0.11547005383783633,7.516666666666666,0.13291601358245086,346116.6666666667,1578.2374134850104,348400.0,3306.50873279339,99.21833333333335,0.15700784481733973,99.12461666666667,0.194820352292447,136255.33333333334,148.9172029462262,135979.0,333.5440000966915,4.0,0.0,4.0,0.0,22.0,2.9999999999999574,21.5,2.345207879911746,1.0,0.0,0.6666666666666666,0.5163977794943223,0.004062681369704002,-0.0031019310854143445,0.0008218434241518136,0.0,0.13636363636363646,0.0,False,False,False,False,False,False,True,False,False,False,False
2013-09-30,7.2,7.2,7.3,7.5,333400.0,346000.0,344600.0,99.6543,99.0814,99.3897,136646.0,136391.0,136279.0,4.0,4.0,4.0,22.0,25.0,22.0,1.0,1.0,1.0,7.333333333333333,0.15275252316512603,7.433333333333334,0.1505545305417623,341333.3333333333,6906.0360072420535,345133.3333333333,6236.639052142299,99.37513333333334,0.28672764661640276,99.26798333333333,0.21807063458285197,136438.66666666666,188.085973249809,136162.33333333334,349.8546364808765,4.0,0.0,4.0,0.0,23.0,1.7320508075688035,21.333333333333332,2.250925735484582,1.0,0.0,0.8333333333333334,0.4082482904638631,-0.03641618497109822,0.0057821145038321475,0.0018696248286176331,0.0,-0.12,0.0,False,False,False,False,False,False,False,True,False,False,False
2013-10-31,7.2,7.2,7.2,7.3,314000.0,333400.0,346000.0,100.161,99.6543,99.0814,136821.0,136646.0,136391.0,4.0,4.0,4.0,21.0,22.0,25.0,1.0,1.0,1.0,7.233333333333333,0.05773502691877791,7.383333333333333,0.17224014243680416,331133.3333333333,16119.966914771365,338833.3333333333,13275.378211814073,99.63223333333333,0.540138170595416,99.42946666666667,0.4178596159805149,136619.33333333334,216.2367529661125,136351.0,348.77442566865255,4.0,0.0,4.0,0.0,22.666666666666668,2.081665999466072,21.666666666666668,1.9663841605003887,1.0,0.0,1.0,0.0,-0.05818836232753455,0.005084577384016464,0.0012806814689050317,0.0,-0.045454545454545414,0.0,False,False,False,False,False,False,False,False,True,False,False
2013-11-30,6.9,7.2,7.2,7.2,358500.0,314000.0,333400.0,100.082,100.161,99.6543,137041.0,136821.0,136646.0,5.0,4.0,4.0,24.0,21.0,22.0,1.0,1.0,1.0,7.2,0.0,7.316666666666666,0.14719601443874364,335300.0,22310.759736055377,340708.3333333333,15336.375603991559,99.96576666666665,0.2726148626434995,99.59204999999999,0.45517590775515726,136836.0,197.9267541288761,136545.66666666666,354.5316158922384,4.333333333333333,0.5773502691896253,4.166666666666667,0.40824829046386607,22.333333333333332,1.5275252316518646,22.166666666666668,2.1369760566433205,1.0,0.0,1.0,0.0,0.14171974522292996,-0.0007887301444674533,0.001607940301561861,0.25,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,True,False
2013-12-31,6.7,6.9,7.2,7.2,328200.0,358500.0,314000.0,100.3158,100.082,100.161,137317.0,137041.0,136821.0,4.0,5.0,4.0,20.0,24.0,21.0,1.0,1.0,1.0,7.1000000000000005,0.17320508075682542,7.216666666666666,0.19407902170675528,333566.6666666667,22730.229504633764,337450.0,15615.345017003037,100.18626666666667,0.11893028770719995,99.78070000000001,0.4857201334109483,137059.66666666666,248.52632322015262,136749.16666666666,393.1271634816778,4.333333333333333,0.5773502691896253,4.166666666666667,0.40824829046386607,21.666666666666668,2.081665999466073,22.333333333333332,1.8618986725025717,1.0,0.0,1.0,0.0,-0.08451882845188285,0.0023360844107831458,0.0020139958114724354,-0.19999999999999996,-0.16666666666666663,0.0,False,False,False,False,False,False,False,False,False,False,True
2014-01-31,6.6,6.7,6.9,7.2,346000.0,328200.0,358500.0,100.5175,100.3158,100.082,137372.0,137317.0,137041.0,5.0,4.0,5.0,23.0,20.0,24.0,1.0,1.0,1.0,6.933333333333334,0.25166114784231464,7.083333333333333,0.2316606713852217,344233.3333333333,15227.059247711722,337683.3333333333,15753.40174904164,100.3051,0.21794708073469285,99.96866666666666,0.5210805452782098,137243.33333333334,177.3706101171459,136931.33333333334,384.83797456480886,4.666666666666667,0.5773502691896263,4.333333333333333,0.5163977794943243,22.333333333333332,2.081665999466073,22.5,1.8708286933870184,1.0,0.0,1.0,0.0,0.05423522242535039,0.0020106503661436737,0.0004005330731082779,0.25,0.1499999999999999,0.0,False,False,False,False,False,False,False,False,False,False,False
2014-02-28,6.7,6.6,6.7,6.9,326750.0,346000.0,328200.0,100.1599,100.5175,100.3158,137561.0,137372.0,137317.0,5.0,5.0,4.0,28.0,23.0,20.0,2.0,1.0,1.0,6.733333333333333,0.1527525231651213,6.966666666666668,0.2732520204255628,333650.0,10719.958022305382,334475.0,15680.935877684162,100.33106666666667,0.17928815726116795,100.14841666666666,0.2874342875640587,137416.66666666666,127.98567628187209,137126.33333333334,351.2467318953127,4.666666666666667,0.5773502691896263,4.5,0.547722557505168,23.666666666666668,4.041451884327349,23.0,2.8284271247462245,1.3333333333333333,0.5773502691896258,1.1666666666666667,0.4082482904638632,-0.05563583815028905,-0.0035575894744697134,0.0013758262236844843,0.0,0.21739130434782616,1.0,True,False,False,False,False,False,False,False,False,False,False
