date,y_true,y_pred_arima
2020-01-31,3.6,3.601227327372012
2020-02-29,3.5,3.600993569230393
2020-03-31,4.4,3.4868465083090636
2020-04-30,14.8,4.5223800207892655
2020-05-31,13.2,20.726471105599003
2020-06-30,11.0,12.924812424993853
2020-07-31,10.2,10.639612413521117
2020-08-31,8.4,9.908884662360817
2020-09-30,7.8,8.138598994320722
2020-10-31,6.9,7.649626226764353
2020-11-30,6.7,6.787120834223915
2020-12-31,6.7,6.650684144110348
2021-01-31,6.4,6.660792819138033
2021-02-28,6.2,6.36228748325159
2021-03-31,6.1,6.185454211553703
2021-04-30,6.1,6.0990913273599485
2021-05-31,5.8,6.105429043197542
2021-06-30,5.9,5.8068377109475735
2021-07-31,5.4,5.928029322855562
2021-08-31,5.1,5.422626825000297
2021-09-30,4.7,5.160611151259684
2021-10-31,4.5,4.780851528162275
2021-11-30,4.1,4.608809752769412
2021-12-31,3.9,4.2206442054381
2022-01-31,4.0,4.048126669976035
2022-02-28,3.9,4.160107651215125
2022-03-31,3.7,4.049618879917597
2022-04-30,3.7,3.8554042164507276
2022-05-31,3.6,3.8682498530381877
2022-06-30,3.6,3.7647744719521774
2022-07-31,3.5,3.7705899734604595
2022-08-31,3.6,3.667488715894557
2022-09-30,3.5,3.773904483887721
2022-10-31,3.6,3.6633973999351346
2022-11-30,3.6,3.7703400063942865
2022-12-31,3.5,3.760702673526182
2023-01-31,3.5,3.658938522946816
2023-02-28,3.6,3.664511659255459
2023-03-31,3.5,3.7631111942514974
2023-04-30,3.4,3.653589455357466
2023-05-31,3.6,3.5589017679999824
2023-06-30,3.6,3.7655722235430065
2023-07-31,3.5,3.749255191235336
2023-08-31,3.7,3.6481464209138057
2023-09-30,3.7,3.8552842483603653
2023-10-31,3.9,3.8393379996751866
2023-11-30,3.7,4.040504304016212
2023-12-31,3.8,3.824215054206028
2024-01-31,3.7,3.9384995710607766
2024-02-29,3.9,3.8289069859731013
2024-03-31,3.9,4.036367382775332
2024-04-30,3.9,4.021210795806827
2024-05-31,3.9,4.021266164498371
2024-06-30,4.1,4.020309707448039
2024-07-31,4.2,4.220446901196535
2024-08-31,4.2,4.306595311064558
2024-09-30,4.1,4.300083683616501
2024-10-31,4.1,4.199456384232427
2024-11-30,4.2,4.205497089996906
2024-12-31,4.1,4.304825174422401
