date,y_true,y_pred_ridge
2020-01-31,3.6,3.577157842991601
2020-02-29,3.5,3.6608450990616803
2020-03-31,4.4,3.5380204372914523
2020-04-30,14.8,-4.2820115733354145
2020-05-31,13.2,26.454936260925077
2020-06-30,11.0,18.078653638894927
2020-07-31,10.2,13.282542575027374
2020-08-31,8.4,9.840829058931025
2020-09-30,7.8,7.614489900449817
2020-10-31,6.9,7.850979198473833
2020-11-30,6.7,6.759502701053625
2020-12-31,6.7,6.7352169824076835
2021-01-31,6.4,6.7465354557350725
2021-02-28,6.2,6.605914956501145
2021-03-31,6.1,6.386455958442799
2021-04-30,6.1,6.004756418161476
2021-05-31,5.8,5.8129313150329045
2021-06-30,5.9,5.600908353618182
2021-07-31,5.4,5.467404068509978
2021-08-31,5.1,5.15421029484531
2021-09-30,4.7,4.996291669296989
2021-10-31,4.5,4.627704497480319
2021-11-30,4.1,4.406049303989683
2021-12-31,3.9,3.8648678655657602
2022-01-31,4.0,3.712808656598618
2022-02-28,3.9,3.636060179437215
2022-03-31,3.7,3.6826885309952075
2022-04-30,3.7,3.3927364647499054
2022-05-31,3.6,3.5788772906055755
2022-06-30,3.6,3.5279351975070212
2022-07-31,3.5,3.4463261694160923
2022-08-31,3.6,3.4371634389400265
2022-09-30,3.5,3.3339359956536008
2022-10-31,3.6,3.2939699539348575
2022-11-30,3.6,3.396492629969491
2022-12-31,3.5,3.170073873169135
2023-01-31,3.5,3.046664350738393
2023-02-28,3.6,3.1495363795161886
2023-03-31,3.5,3.4705682029508265
2023-04-30,3.4,3.2881832663358193
2023-05-31,3.6,3.2810940393407986
2023-06-30,3.6,3.450201514533151
2023-07-31,3.5,3.499371001525776
2023-08-31,3.7,3.4412588084295295
2023-09-30,3.7,3.5828130509805973
2023-10-31,3.9,3.5546156593454112
2023-11-30,3.7,3.7393748030945133
2023-12-31,3.8,3.738686689620148
2024-01-31,3.7,3.7203504999857295
2024-02-29,3.9,3.678598649362139
2024-03-31,3.9,3.8851413337432392
2024-04-30,3.9,3.9600525904641297
2024-05-31,3.9,3.940459820213044
2024-06-30,4.1,3.9868313341020807
2024-07-31,4.2,3.891800025732426
2024-08-31,4.2,4.077468789782899
2024-09-30,4.1,4.169131556788335
2024-10-31,4.1,4.20565340565407
2024-11-30,4.2,4.174178910798364
2024-12-31,4.1,4.115065197623815
